shop_date,offer_id,dev_name,regular_price,final_price,discount_vbucks,discount_pct,is_discounted,in_date,out_date,giftable,refundable,sort_priority,layout_id,layout_name,layout_rank,layout_display_type,tile_size,offer_tag,is_bundle,bundle_name,items_in_offer,item_kind,item_id,item_name,item_type,item_rarity,item_series,item_set,item_intro_chapter,item_intro_season,item_added
2026-09-15,v2:/e2631f4e866e60745f70a3c4db26ecc9bf6f9b9ad4ec41349efe1b7925747826,[VIRTUAL]1 x TBD (SID_Placeholder_587) for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-49,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_587,Dream On,,,,,,,2025-05-14T00:00:00Z
2026-09-15,v2:/db23c308f77561f41fb7f2ab84e35f448ac55718f8fc649719fe0fd8713057c4,"[VIRTUAL]1 x X-23, 1 x Clone Pod, 1 x X-23's Adamantium Claws, 1 x X Insignia for -1 MtxCurrency",2800,1900,900,0.3214,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-1,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,1,X-23 Bundle,4,br,Character_DarkAzalea,X-23,outfit,marvel,MARVEL SERIES,X-23,3,4,2022-10-08T17:05:51Z
2026-09-15,v2:/db23c308f77561f41fb7f2ab84e35f448ac55718f8fc649719fe0fd8713057c4,"[VIRTUAL]1 x X-23, 1 x Clone Pod, 1 x X-23's Adamantium Claws, 1 x X Insignia for -1 MtxCurrency",2800,1900,900,0.3214,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-1,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,1,X-23 Bundle,4,br,Backpack_DarkAzalea,Clone Pod,backpack,marvel,MARVEL SERIES,X-23,3,4,2022-10-08T17:05:51Z
2026-09-15,v2:/db23c308f77561f41fb7f2ab84e35f448ac55718f8fc649719fe0fd8713057c4,"[VIRTUAL]1 x X-23, 1 x Clone Pod, 1 x X-23's Adamantium Claws, 1 x X Insignia for -1 MtxCurrency",2800,1900,900,0.3214,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-1,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,1,X-23 Bundle,4,br,Pickaxe_DarkAzalea,X-23's Adamantium Claws,pickaxe,marvel,MARVEL SERIES,X-23,3,4,2022-10-08T17:05:51Z
2026-09-15,v2:/db23c308f77561f41fb7f2ab84e35f448ac55718f8fc649719fe0fd8713057c4,"[VIRTUAL]1 x X-23, 1 x Clone Pod, 1 x X-23's Adamantium Claws, 1 x X Insignia for -1 MtxCurrency",2800,1900,900,0.3214,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-1,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,1,X-23 Bundle,4,br,Wrap_DarkAzeala,X Insignia,wrap,marvel,MARVEL SERIES,X-23,3,4,2022-10-08T17:05:51Z
2026-09-15,v2:/4629db3fa77c4e59d9679f7f613aa643d8e3e45f6dd7f2e2b26f0f10f3040517,[VIRTUAL]1 x Blinkin' Amazing for 300 MtxCurrency,300,300,0,0.0,0,2026-09-12T00:00:00Z,2026-09-16T23:59:59.999Z,1,0,-4,Overwatch,Overwatch,190,tileGrid,Size_1_x_1,,0,,1,br,EID_LooseCreep,Blinkin' Amazing,emote,gaminglegends,Gaming Legends Series,Overwatch,7,2,2026-05-14T09:00:00Z
2026-09-15,v2:/7a556796270c1da93d8baa6bcac94c01fe08a230eb66e05b67fd9212fa3b89ab,[VIRTUAL]1 x My Songs Know What You Did In The Dark (Light Em Up) for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-56,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_90,My Songs Know What You Did In The Dark (Light Em Up),,,,,,,2024-01-05T21:55:08Z
2026-09-15,v2:/197dc1138c66c0ae8bd7bd14049a79a3d8019d60244b97fa76296788762ed546,[VIRTUAL]1 x Toxicity for 500 MtxCurrency,500,500,0,0.0,0,2026-09-11T00:00:00Z,2026-09-17T23:59:59.999Z,1,0,-4,JT091426,Jam Tracks,182,tileGrid,Size_1_x_1,,0,,1,track,sid_placeholder_206,Toxicity,,,,,,,2024-05-07T14:47:23Z
2026-09-15,v2:/0d860c4ee94534a0e40a0dab260f236d7c08e762ea0c5e8784f8cdb5c25344c8,[VIRTUAL]1 x TBD (SID_Placeholder_722) for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-94,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_722,future base,,,,,,,2026-01-13T19:59:54Z
2026-09-15,v2:/773de5971162e114189cd4f9224f84dc1f93b30c19dab72d3fa7ca5836efd69f,[VIRTUAL]1 x Pterodactyl Coin for 300 MtxCurrency,300,300,0,0.0,0,2026-09-12T00:00:00Z,2026-09-15T23:59:59.999Z,1,0,-2,Rangers,Power Rangers,187,tileGrid,Size_1_x_1,,0,,1,br,Backpack_FumeFleeceJig,Pterodactyl Coin,backpack,rare,,Mighty Morphin,6,5,2025-08-07T13:36:11Z
